# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian2_1.data.R
# init = 2 (Default)
# random
#   seed = 1750852202
# output
#   file = CmdStanGaussian2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-8003.1,1,0.015625,1,1,0,15550.9,0.541999,1.8386
-8003.1,0,14.3855,0,1,1,8003.13,0.541999,1.8386
-8003.1,0,2.43117,0,1,1,8003.22,0.541999,1.8386
-8003.1,0,0.239791,0,1,1,8005.33,0.541999,1.8386
-8003.1,0,0.0186273,0,1,1,8003.71,0.541999,1.8386
-7975.17,1,0.00130482,2,3,0,8003.89,0.542207,1.83018
-7919.27,1,0.00189104,1,1,0,7975.96,0.541169,1.814
-5850.1,1,0.00305706,3,7,0,7874.73,0.400222,1.20277
-5697.38,1,0.00530085,1,1,0,5845.02,0.361546,1.17348
-5312.11,1,0.00961161,1,1,0,5640.75,0.248584,1.08624
-5127.13,1,0.0179176,1,1,0,5222.11,-0.098476,0.902659
-5127.13,0,0.0339435,0,1,1,5128.6,-0.098476,0.902659
-5056.93,1,0.00278004,2,3,0,5125.45,-0.0792861,0.926366
-4970.23,1,0.00539629,2,7,0,5050.4,-0.0145326,0.986434
-4969.26,0.915118,0.0104922,2,3,0,4970.42,-0.000134769,0.990516
-4969.26,0.00728279,0.0156515,1,1,0,4972.16,-0.000134769,0.990516
-4969.18,0.997016,0.00142788,4,23,0,4970.46,0.00310992,0.993663
-4969.04,0.99948,0.00278272,4,15,0,4969.43,-0.0093154,0.991671
-4969.48,0.963233,0.00542739,3,7,0,4969.96,-0.00920699,0.988527
-4969.71,0.978531,0.00941687,2,3,0,4969.89,-0.0122738,1.0059
-4969.71,1.29846e-12,0.0169804,1,1,0,4970.93,-0.0122738,1.0059
-4969.06,0.996683,0.00168233,2,7,0,4970.24,-0.0109178,1.00166
