# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian3_1.data.R
# init = 2 (Default)
# random
#   seed = 1750856219
# output
#   file = CmdStanGaussian3_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-5127.69,0.963275,0.00879934,1,3,0,5129.63,0.00373732,1.01282
-5127.69,0.26367,0.0128581,2,3,0,5128.74,0.00373732,1.01282
-5128.54,0.84117,0.00436451,2,3,0,5130.28,0.00505176,1.00298
-5127.4,0.950471,0.00495021,3,7,0,5129.89,0.015156,1.01736
-5127.68,0.97882,0.00702081,4,15,0,5127.89,0.0199189,1.00732
-5127.28,0.973763,0.0105129,1,3,0,5127.71,0.00983596,1.01191
-5127.28,0.231738,0.0155137,1,1,0,5127.58,0.00983596,1.01191
-5127.28,0.981632,0.00506506,3,7,0,5127.98,0.00986657,1.01344
-5128.28,0.746999,0.00758971,1,3,0,5128.67,0.014768,1.00243
-5127.43,0.913717,0.00707149,1,3,0,5129.02,0.0168043,1.01729
-5129.47,0.567452,0.00919702,1,3,0,5129.74,0.00796353,1.02775
-5127.47,0.817189,0.0059938,2,3,0,5131.43,0.00825082,1.00934
-5130.59,0.802902,0.00642721,2,3,0,5130.87,-0.0110795,1.00695
-5129.31,1,0.00669529,2,3,0,5130.44,-0.00686544,1.0111
-5127.49,0.901368,0.0102563,2,3,0,5129.17,0.0213379,1.01406
-5127.49,0.506823,0.0129084,1,1,0,5128.52,0.0213379,1.01406
-5127.24,0.970824,0.00753678,1,3,0,5127.85,0.0127533,1.01481
-5127.49,0.625819,0.0108373,2,3,0,5129.59,0.00895005,1.00864
-5129.12,0.736777,0.00799831,2,3,0,5129.46,0.0162928,0.999072
-5127.41,1,0.00731926,1,3,0,5128.75,0.0129548,1.00818
-5127.52,0.991415,0.0110686,1,3,0,5127.64,0.00599869,1.01127
-5127.21,1,0.0164055,1,1,0,5127.34,0.0123622,1.0135
-5127.21,6.9305e-05,0.0246241,1,1,0,5128.07,0.0123622,1.0135
-5129.35,0.828254,0.00561578,2,3,0,5129.42,0.00212754,1.00066
-5128.96,1,0.00611645,1,1,0,5129.48,0.000894665,1.00311
-5128.26,0.965232,0.00916814,2,3,0,5130.34,0.0204741,1.00364
-5128.26,0.181481,0.0128373,2,3,0,5129.73,0.0204741,1.00364
-5128.51,0.99793,0.0042085,3,7,0,5129.32,0.0234268,1.02238
-5127.85,0.846765,0.00625964,2,3,0,5130.66,0.0244813,1.00983
-5127.6,0.905731,0.00703276,2,3,0,5129.08,0.0214314,1.01633
-5127.6,0.666588,0.00878993,1,1,0,5128.46,0.0214314,1.01633
-5127.6,0.0966397,0.908607,1,1,0,5128.82,0.0214314,1.01633
-5127.6,3.86626e-17,2.52921,1,2,1,5127.91,0.0214314,1.01633
-5127.52,0.990965,0.262708,2,5,0,5128.08,0.00938702,1.00798
-5127.73,0.972725,0.275163,3,7,0,5128.21,0.0131072,1.02027
-5130.25,0.858977,0.350127,2,7,0,5131.33,0.0359593,1.02137
-5129.82,0.984524,0.362307,2,3,0,5131.16,0.0368821,1.01474
-5127.26,1,0.584379,2,3,0,5129.35,0.0101669,1.01226
-5127.26,5.3415e-09,1.04061,1,1,0,5133.81,0.0101669,1.01226
-5127.31,0.999449,0.0824746,5,31,0,5127.48,0.0166383,1.01552
-5127.21,0.999909,0.151349,3,15,0,5127.34,0.0132992,1.01163
-5127.84,0.906943,0.283178,1,3,0,5128.76,0.0127455,1.00481
-5128.41,0.865968,0.398541,3,11,0,5131.02,0.00291435,1.02107
-5127.92,0.637673,0.495203,2,3,0,5132.44,0.0203679,1.00568
-5127.84,0.987864,0.301537,3,7,0,5128.84,0.0173674,1.02061
-5127.24,0.922951,0.551896,2,3,0,5128.35,0.012398,1.01468
-5127.24,0.0228119,0.822191,1,1,0,5130.14,0.012398,1.01468
-5127.73,0.997543,0.0764982,4,15,0,5128.16,0.0164282,1.02007
-5127.97,0.999601,0.144886,4,15,0,5128.34,0.0243318,1.00801
-5127.68,1,0.273948,3,7,0,5128.25,0.017375,1.01948
-5128.77,0.765004,0.514023,1,1,0,5128.79,0.020651,1.02473
-5128.55,0.987124,0.474159,2,7,0,5129.53,0.0291206,1.00841
-5129.55,0.601782,0.845104,3,9,0,5130.01,-0.00438608,1.00431
-5128.68,0.809713,0.482248,2,7,0,5132.63,0.0212854,1.02411
-5127.32,0.899596,0.508605,2,3,0,5129.55,0.0089102,1.01186
-5127.5,0.900579,0.694569,2,3,0,5127.96,0.0209027,1.01045
-5128.03,0.436924,0.946355,2,3,0,5128.32,0.0238252,1.00696
-5129.02,0.912187,0.344943,2,7,0,5130.28,0.00631974,1.00038
-5129.28,0.95373,0.486027,2,3,0,5129.87,0.0224464,1.02632
-5129.28,0.697621,0.764439,1,3,0,5130.75,0.0224464,1.02632
-5129.83,0.86527,0.588272,1,1,0,5130.39,0.0251714,1.0274
-5127.26,0.974974,0.719636,2,3,0,5128.74,0.0145982,1.01527
-5127.26,0.000376686,1.18196,1,1,0,5128.44,0.0145982,1.01527
-5127.39,0.998794,0.139442,3,7,0,5127.4,0.0137444,1.01732
-5131.63,0.903126,0.245351,3,9,0,5132.03,-0.0158705,1.01713
-5127.49,0.985277,0.331963,3,7,0,5132.12,0.021578,1.01287
-5127.48,0.962808,0.554733,2,3,0,5127.87,0.0195539,1.01636
-5127.52,0.657268,0.867128,2,7,0,5128,0.0212939,1.0151
-5128.19,0.674461,0.610334,2,3,0,5128.86,0.00438654,1.00532
-5128,1,0.451387,2,3,0,5128.57,0.00309172,1.01798
-5128.38,0.711417,0.768887,2,7,0,5129.02,0.02082,1.00311
-5130.73,0.620718,0.626035,2,3,0,5131.88,-0.0121617,1.01826
-5129.62,0.976898,0.407115,2,3,0,5131.64,-0.00740133,1.00819
-5130.96,0.75667,0.647313,1,1,0,5131.34,-0.0139558,1.01197
-5129.66,0.889153,0.592755,2,3,0,5132.43,0.0345818,1.00702
-5128.63,1,0.752487,1,1,0,5129.61,0.0297713,1.01739
-5128.63,0.00944958,1.24752,1,3,0,5129.58,0.0297713,1.01739
-5128.37,0.995885,0.1864,4,15,0,5129.91,0.00191171,1.02003
-5127.65,0.98063,0.306741,3,7,0,5129.57,0.013926,1.00606
-5127.65,0.994981,0.483338,2,7,0,5127.98,0.00461229,1.01492
-5127.32,0.962117,0.783069,1,3,0,5127.71,0.0173476,1.01539
-5127.46,0.982514,0.583223,2,3,0,5127.53,0.00748617,1.01024
-5127.46,0,8.12741,0,1,1,5127.49,0.00748617,1.01024
-5127.46,0.000106052,1.36066,1,1,0,5130.41,0.00748617,1.01024
-5127.37,0.996024,0.133523,3,15,0,5128.35,0.00784278,1.01233
-5128.33,0.988355,0.177961,3,15,0,5128.51,0.0169861,1.02351
-5128.64,0.997469,0.268095,3,7,0,5129.57,0.0272772,1.00545
-5128,0.987174,0.451634,3,7,0,5129.8,0.0084696,1.02119
-5127.4,1,0.775141,1,1,0,5127.84,0.014136,1.01738
-5127.4,0.00326906,1.42525,1,1,0,5128.57,0.014136,1.01738
-5127.21,0.984539,0.114354,3,13,0,5131.73,0.0125004,1.01365
-5127.23,0.999162,0.203854,3,15,0,5127.28,0.0135057,1.01108
-5127.3,0.989762,0.383867,2,3,0,5127.37,0.0121383,1.00977
-5127.8,0.803347,0.703508,2,3,0,5128.49,0.0165769,1.02049
-5127.8,0.416411,0.717608,1,1,0,5129.69,0.0165769,1.02049
-5128.34,0.985236,0.219506,3,7,0,5129.27,0.0210373,1.02246
-5130.17,0.923821,0.397818,3,7,0,5130.77,-0.00970508,1.00772
-5127.76,0.741152,0.59323,2,3,0,5132.77,0.0207219,1.00709
-5127.26,0.894847,0.504096,3,7,0,5128.93,0.0127838,1.0105
-5127.26,0.476732,0.684844,2,3,0,5130.18,0.0127838,1.0105
-5128.3,0.973,0.263642,3,7,0,5128.58,-0.00118367,1.01405
-5128.26,0.979047,0.452975,2,3,0,5128.99,0.00325802,1.0203
-5128.26,0.622081,0.785682,2,3,0,5129.83,0.00325802,1.0203
-5127.91,0.914751,0.474341,3,7,0,5129.74,0.0211481,1.00615
-5128.43,0.948956,0.676417,2,3,0,5128.66,0.0127554,1.02419
-5127.86,1,1.05834,1,1,0,5128.6,0.012291,1.02106
-5127.86,2.59857e-10,1.90161,1,1,0,5128.02,0.012291,1.02106
-5128.03,0.991969,0.199095,3,7,0,5128.71,0.0206377,1.0208
-5127.43,0.999187,0.351304,3,7,0,5128.23,0.0206251,1.01212
-5127.58,0.971424,0.626485,2,3,0,5127.75,0.0175088,1.00721
-5128.59,0.516267,1.02481,1,1,0,5128.92,0.00500947,1.00273
-5128.21,1,0.47805,3,7,0,5128.62,0.00796391,1.00358
-5128.08,0.781745,0.840152,2,3,0,5129.59,0.00932873,1.02191
-5128.18,0.98155,0.81263,2,3,0,5128.79,0.0101125,1.00321
-5128.45,0.292832,1.34123,1,3,0,5128.58,0.00778922,1.02346
-5127.94,0.984822,0.353871,3,7,0,5128.94,0.0196709,1.00524
-5128.01,0.977119,0.588259,2,3,0,5128.33,0.0154042,1.02196
-5127.79,0.889098,0.950752,2,3,0,5128.23,0.0174563,1.02026
-5127.94,0.981075,1.21437,2,5,0,5127.95,0.0053509,1.00652
-5127.94,0.0990158,1.95694,1,3,1,5128.46,0.0053509,1.00652
-5127.32,1,0.330513,2,3,0,5127.93,0.00924072,1.01151
-5129.41,0.799762,0.560138,2,3,0,5129.64,-0.00751961,1.01334
-5129.12,1,0.569633,2,3,0,5129.63,-0.00601633,1.01192
-5129.01,1,0.953929,2,3,0,5129.31,0.0330944,1.01327
-5129.01,4.01167e-05,1.58546,1,1,0,5130.67,0.0330944,1.01327
-5127.31,0.998374,0.224227,2,7,0,5129.29,0.0179739,1.0112
-5127.86,0.97447,0.372284,2,7,0,5127.91,0.00571713,1.01884
-5127.26,0.626709,0.579139,2,3,0,5131.92,0.0172653,1.01369
-5128.6,0.875654,0.387874,3,7,0,5130.32,0.00263467,1.02204
-5127.46,0.993913,0.473411,3,7,0,5129.09,0.00822254,1.00953
-5127.46,0.458555,0.762862,1,1,0,5128.82,0.00822254,1.00953
-5127.37,0.998885,0.345807,3,7,0,5127.67,0.019432,1.01155
-5127.47,0.907075,0.561283,1,3,0,5128.28,0.006395,1.01242
-5129.19,0.599046,0.731126,1,3,0,5130.22,0.03322,1.0091
-5127.45,1,0.465707,2,3,0,5129.14,0.0175173,1.00854
-5127.36,1,0.749171,2,3,0,5127.49,0.0143914,1.01698
-5127.36,0.137254,1.19787,1,1,0,5128.38,0.0143914,1.01698
-5127.59,0.99572,0.269154,3,7,0,5127.74,0.0214795,1.00962
-5128.34,0.976327,0.426388,3,7,0,5128.48,0.0290279,1.01194
-5128.14,0.995942,0.643079,2,3,0,5128.6,-0.000105518,1.01213
-5128.3,0.951845,1.0081,2,5,0,5128.67,0.027008,1.00783
-5128.3,2.53618e-16,1.4256,1,1,0,5132.37,0.027008,1.00783
-5127.82,0.922161,0.247301,2,7,0,5133.37,0.00263546,1.01402
