# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian4_1.data.R
# init = 2 (Default)
# random
#   seed = 1750836518
# output
#   file = CmdStanGaussian4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-5018.13,1,0.0106325,2,3,0,5018.22,0.0116089,1.01602
-5018.13,0.002026,0.0168045,1,3,0,5022.86,0.0116089,1.01602
-5016.3,0.976639,0.00327681,3,15,0,5019.93,0.00208836,1.01138
-5015.97,0.989552,0.00493833,2,3,0,5016.64,0.00537657,1.00829
-5017.78,0.647776,0.00760944,1,3,0,5018.37,-0.00358147,1.01741
-5018.74,0.853746,0.00577427,1,1,0,5018.99,-0.000975022,1.02042
-5016.3,1,0.00669908,2,3,0,5019.27,0.0128258,1.00042
-5015.57,1,0.0104527,2,3,0,5016.24,-0.00776511,1.00372
-5015.57,0.00205502,0.0162334,1,3,0,5017.72,-0.00776511,1.00372
-5016.04,0.946639,0.00335222,2,7,0,5019.02,0.00907959,0.997054
-5016.73,0.937106,0.00468178,2,3,0,5017.73,0.0157328,1.00154
-5017.6,0.930883,0.00639318,3,11,0,5018.09,0.0160922,1.01079
-5015.97,0.871735,0.00859526,1,3,0,5019.26,-0.00676396,1.00871
-5015.92,0.92851,0.010249,2,3,0,5016.38,-0.00134082,0.993835
-5015.92,0.225936,0.0136409,1,1,0,5016.18,-0.00134082,0.993835
-5016.76,0.828926,0.00457047,2,3,0,5018.47,0.00270284,0.989972
-5016.25,0.978039,0.00501352,3,7,0,5018.28,0.00577208,1.01002
-5016.29,0.926765,0.00733799,2,3,0,5017.39,0.00419374,0.992504
-5016.29,0.16724,0.00969166,1,1,0,5018.59,0.00419374,0.992504
-5016.84,0.985868,0.00296265,3,7,0,5017.44,-0.0020636,0.989349
-5015.43,1,0.00438741,2,5,0,5016.7,-0.000944392,0.998087
-5015.67,0.980382,0.00665019,2,7,0,5015.69,0.00239131,1.00705
-5017.07,0.666212,0.00967435,1,3,0,5017.32,-0.00401838,1.01487
-5016.74,0.998017,0.00774776,2,7,0,5017.53,0.0114132,0.993668
-5016.07,1,0.011602,2,3,0,5016.65,-0.00809218,0.994454
-5016.07,4.70873e-06,0.017375,1,1,0,5016.47,-0.00809218,0.994454
-5015.63,0.99518,0.00401809,3,7,0,5016.36,-0.000818369,1.00722
-5016.06,0.990089,0.00596881,2,7,0,5016.11,-0.0107165,0.996204
-5018.47,0.443571,0.00875297,1,1,0,5018.51,-0.0162972,0.98762
-5016.59,0.808488,0.00467771,2,3,0,5021.78,-0.00611712,0.990916
-5017.3,0.986362,0.00490525,3,7,0,5017.7,-0.0114337,0.98965
-5015.65,0.988009,0.00711372,3,7,0,5017.63,0.00246287,0.996344
-5015.58,1,0.660141,2,3,0,5015.66,-0.000614536,1.00677
-5015.58,0,9.49646,0,1,1,5015.73,-0.000614536,1.00677
-5015.58,0.000224369,1.60491,1,1,0,5017.48,-0.000614536,1.00677
-5015.52,0.999818,0.158391,4,15,0,5015.87,-0.0057956,1.00485
-5015.46,0.995129,0.214131,3,7,0,5015.83,-0.00626389,1.00298
-5016.14,0.965451,0.330041,2,3,0,5016.17,-0.0135575,1.00417
-5017.2,0.910581,0.505212,2,3,0,5017.37,-0.0196975,0.997535
-5016.58,0.325493,0.683037,2,3,0,5021.86,0.011649,1.00844
-5015.71,0.997288,0.150418,3,15,0,5017.48,-0.00588922,0.99624
-5016.19,0.936529,0.275378,2,3,0,5016.77,-0.00246509,0.992282
-5016.01,0.998863,0.4222,2,3,0,5016.53,-0.0076435,1.00864
-5016.51,0.720976,0.793731,2,3,0,5018.19,-0.0114306,1.00988
-5015.36,1,0.622821,2,3,0,5016.38,-0.000547444,1.00365
-5015.36,0.0947259,1.17821,1,1,0,5016.42,-0.000547444,1.00365
-5016.35,0.989228,0.131911,4,15,0,5016.83,-0.00990992,1.00978
-5015.98,0.989894,0.243011,3,7,0,5017.01,-0.0124612,0.99995
-5016.02,0.924043,0.445978,2,7,0,5017.06,-0.00395845,0.993418
-5015.48,0.972271,0.664517,2,3,0,5016.05,0.00197163,0.998175
-5015.48,0.591706,1.14017,1,1,0,5015.97,0.00197163,0.998175
-5015.98,0.854205,0.618232,1,3,0,5016.09,-0.00261922,0.993535
-5015.4,0.896406,0.740956,2,3,0,5016.56,-0.0054237,1.0018
-5015.4,2.858e-06,1.0035,1,1,0,5018.29,-0.0054237,1.0018
-5016.29,0.993855,0.0977068,4,15,0,5016.62,0.00249272,0.992072
-5016.3,0.997237,0.17791,3,15,0,5017.42,0.0122502,0.998557
-5016.27,0.996276,0.323926,2,3,0,5016.57,0.0126835,1.00155
-5015.94,0.812376,0.582335,2,7,0,5017.21,-0.00898527,0.995912
-5016.76,0.849041,0.615725,2,3,0,5016.95,-0.00751915,0.990522
-5017.1,0.654292,0.721036,2,3,0,5017.9,-0.00792909,0.9892
-5016.72,0.912215,0.489606,2,3,0,5018.19,-0.00107749,1.01357
-5015.78,0.978333,0.682208,1,3,0,5016.52,0.00496421,1.00694
-5015.78,0.0841172,1.13301,1,1,0,5017.08,0.00496421,1.00694
-5016.24,0.995189,0.164493,3,7,0,5016.42,0.0100904,1.00712
-5015.4,1,0.286832,3,7,0,5016.3,0.00288369,1.00215
-5015.68,0.969543,0.502057,2,3,0,5015.76,-0.00974333,1.00151
-5016.87,0.353636,0.80333,2,3,0,5017.2,0.00668574,1.01291
-5015.32,0.990029,0.25261,2,7,0,5017.38,0.00018036,1.00121
-5015.58,0.960104,0.425486,1,3,0,5015.82,0.00600449,1.00256
-5016.46,0.863257,0.657845,2,3,0,5016.46,0.0107637,1.00832
-5016.46,0.0294348,0.787749,1,1,0,5018.8,0.0107637,1.00832
-5017.6,0.997311,0.112301,4,15,0,5017.93,0.0187687,1.00735
-5019.77,0.950943,0.19075,3,7,0,5020.71,0.0176358,1.01844
-5017.25,1,0.286092,3,7,0,5019.66,-0.0190661,0.995938
-5015.54,0.938299,0.481968,3,7,0,5018.47,0.00536677,1.00279
-5015.54,0.503315,0.691657,1,1,0,5016.34,0.00536677,1.00279
-5015.8,0.984906,0.339131,3,7,0,5015.93,-0.00801348,0.996533
-5016.18,0.957049,0.543742,2,3,0,5016.42,-0.00777126,1.00971
-5016.18,0.0948925,0.809467,1,1,0,5017.18,-0.00777126,1.00971
-5017.37,0.995443,0.150622,4,15,0,5018.01,-0.0213997,1.00053
-5016.11,0.989183,0.246548,3,7,0,5018.21,-0.010351,0.995499
-5016.46,0.952852,0.394924,1,1,0,5016.48,-0.0118057,0.994042
-5016.46,4.30382e-11,2.30788,1,2,1,5016.84,-0.0118057,0.994042
-5016.46,0,5.38906,0,1,1,5017.33,-0.0118057,0.994042
-5016.8,0.974437,0.531358,2,3,0,5017.03,-0.00914536,0.990848
-5015.91,0.931212,0.516969,2,3,0,5018.14,0.00910787,1.0043
-5017.63,0.837646,0.57165,2,3,0,5018.23,-0.0215275,0.996768
-5016.95,0.817344,0.544518,3,7,0,5020.96,0.00780502,0.990562
-5016.96,0.97704,0.519009,3,7,0,5017.65,-0.0138006,1.01099
-5016.96,0.664265,0.845597,1,1,0,5018.06,-0.0138006,1.01099
-5017.54,0.951388,0.534616,3,7,0,5018.42,0.0159825,0.993023
-5016.34,0.900601,0.846754,2,3,0,5019.07,0.00359623,1.01125
-5016.34,0.0178269,1.15858,1,1,0,5017.27,0.00359623,1.01125
-5016.18,0.99999,0.0982685,5,31,0,5016.59,-4.81637e-05,0.992317
-5015.9,0.998478,0.18753,4,15,0,5016.87,0.00785724,1.00597
-5016.03,0.986162,0.356915,2,7,0,5016.73,-0.0120977,0.998153
-5016.51,0.67729,0.652525,2,3,0,5018.21,-0.000721294,0.990699
-5016.09,0.994735,0.456292,3,7,0,5017.25,-0.00339323,1.01033
-5015.34,0.984834,0.85363,2,3,0,5015.88,-0.00156578,0.999844
-5015.34,0.000172848,1.53826,1,1,0,5016.29,-0.00156578,0.999844
-5016.7,0.989234,0.139153,3,15,0,5016.91,-0.00473421,1.01323
-5016.05,1,0.256072,3,7,0,5016.76,-0.00327976,0.993185
-5015.69,1,0.482387,2,3,0,5016.14,-0.00559678,1.00689
-5015.7,0.997036,0.899988,2,3,0,5015.81,0.00287307,1.00716
-5015.7,6.53937e-06,1.64816,1,1,0,5016.07,0.00287307,1.00716
-5016.8,0.980617,0.164785,3,11,0,5018.19,0.00978779,0.992237
-5015.58,1,0.28926,2,3,0,5016.83,0.00284058,0.997264
-5015.47,0.931768,0.531739,1,3,0,5016.26,-0.000873667,1.00554
-5015.47,0.80371,0.797565,1,3,0,5016.15,-0.000873667,1.00554
-5016.15,0.86752,0.829283,2,3,0,5016.55,0.0102089,0.997247
-5016.56,0.859218,1.02937,1,1,0,5016.87,0.0141373,1.00468
-5017.32,0.471202,1.24433,1,1,0,5018.43,0.0136547,1.01136
-5017.3,0.926574,0.518133,2,7,0,5019.55,-0.0200933,0.997242
-5017.22,0.880815,0.753987,2,3,0,5018.93,0.0164961,0.99576
-5015.88,1,0.963998,1,1,0,5016.89,0.00679251,0.996571
-5017.29,0.0218699,1.68788,1,3,1,5018.7,-0.00274493,1.01577
-5015.34,0.978228,0.21917,2,7,0,5019.34,-0.00281975,1.00271
-5015.55,0.960575,0.363393,2,7,0,5016.69,0.00497381,1.00386
-5015.45,0.9955,0.570786,2,3,0,5015.64,0.0036481,0.999949
-5015.45,0.13945,0.974397,1,1,0,5016.91,0.0036481,0.999949
-5015.47,0.999365,0.183008,3,11,0,5015.56,-0.00509224,1.00439
-5016.63,0.87196,0.315602,1,3,0,5018.38,-0.00773484,1.01223
-5015.96,1,0.39103,3,7,0,5016.62,0.00274782,0.994073
-5016.28,0.96794,0.665995,2,3,0,5016.46,-0.00779617,1.01033
-5016.58,0.918044,1.0389,2,3,0,5017.01,0.0147784,1.00158
-5016.58,0.000301826,1.423,1,1,0,5021.08,0.0147784,1.00158
-5016.93,0.976749,0.203535,4,15,0,5019.43,0.00140654,1.01431
-5016.72,0.901634,0.323927,2,7,0,5021.13,-0.011143,0.992124
-5017.4,0.976367,0.426915,2,3,0,5017.41,-0.0129641,0.989945
-5015.56,0.963662,0.67079,2,3,0,5017.38,0.00530112,1.00364
-5015.71,0.893548,1.01603,1,1,0,5015.85,0.00418015,1.00668
-5016.6,0.115202,1.29563,2,5,0,5017.09,0.0132029,1.00683
-5017.16,0.991279,0.262938,3,7,0,5017.39,0.0121015,1.01162
-5016.18,1,0.423837,3,7,0,5017.25,-0.00884449,0.994043
-5018.1,0.589815,0.69276,1,1,0,5018.16,-0.0156379,0.988607
-5019.75,0.943264,0.435959,2,3,0,5019.76,-0.0190573,0.985099
-5016.79,1,0.621333,2,3,0,5019.81,-0.012029,1.01117
-5018.43,0.614357,1.00331,2,7,0,5019.47,-0.0166548,1.01572
-5016.33,0.987247,0.671587,2,3,0,5019.16,-0.0140148,0.997303
-5016.33,0.771452,1.04676,1,3,0,5016.95,-0.0140148,0.997303
-5016.12,0.947545,1.00063,2,3,0,5016.49,0.0114126,1.00031
-5016.12,7.77976e-05,1.41632,1,3,0,5017.45,0.0114126,1.00031
-5015.32,0.996533,0.245215,2,5,0,5016.46,-0.000812065,1.00258
-5016.09,0.891068,0.388131,2,7,0,5018.33,0.0113018,1.00076
-5015.8,0.998191,0.485114,3,7,0,5016.28,0.00776305,1.00468
-5016.85,0.729596,0.763321,1,1,0,5016.87,0.012696,1.00938
-5017.11,0.964393,0.668432,2,3,0,5017.67,-0.0116369,0.990518
-5017.41,0.979038,0.971069,2,3,0,5017.63,0.0134658,1.01196
-5017.41,4.39459e-06,1.44938,1,1,0,5017.8,0.0134658,1.01196
-5017.51,0.995193,0.268641,1,1,0,5017.56,0.0133654,1.01253
-5015.41,0.979088,0.415925,2,3,0,5018,-0.00152807,1.00473
-5015.41,0.999742,0.619494,2,3,0,5015.43,-0.0021041,0.998432
-5016.09,0.722405,0.959219,2,3,0,5016.43,0.00967586,1.00607
-5015.67,1,0.830136,2,3,0,5016.01,0.00726327,1.001
-5015.67,0.201511,1.27794,2,5,0,5015.9,0.00726327,1.001
-5015.81,0.992388,0.378388,2,3,0,5015.89,0.0080476,0.998777
-5016.15,0.808549,0.573165,2,7,0,5017.93,-0.0140294,1.00066
-5015.53,1,0.594355,2,3,0,5016.23,0.00150122,1.0059
-5016.95,0.664304,0.908209,2,7,0,5017.22,0.00258964,1.01427
-5015.35,0.977791,0.702018,1,3,0,5016.72,0.00127692,1.00043
-5015.35,0.649184,1.02062,1,1,0,5015.79,0.00127692,1.00043
-5017.24,0.727492,0.766832,2,3,0,5017.67,-0.0207434,1.00058
-5015.45,0.956119,0.675016,1,3,0,5017.63,-0.00340134,1.0049
-5015.45,0.553649,0.935042,1,1,0,5016.22,-0.00340134,1.0049
-5016.19,0.937413,0.584623,2,3,0,5016.22,-0.0119072,0.996196
-5016.31,0.945215,0.778688,1,1,0,5016.57,-0.0114294,0.994793
-5015.59,1,1.05016,1,1,0,5016.01,-0.00861278,1.00141
-5015.59,0.0295811,1.57069,1,1,0,5015.9,-0.00861278,1.00141
-5015.56,0.965849,0.358962,3,7,0,5016.96,0.00389735,0.998065
-5015.31,0.983629,0.503311,2,3,0,5015.76,-0.00164171,1.00136
-5017.11,0.629102,0.727849,1,3,0,5017.35,-0.0101962,1.01353
-5017.43,0.978123,0.533744,2,7,0,5017.86,-0.00563587,1.01598
-5016.34,1,0.761018,2,3,0,5017.06,0.00320422,0.991976
-5017.58,0.790927,1.12723,1,3,0,5017.63,0.00488793,1.01624
-5018.25,0.927904,1.12291,1,3,0,5018.49,-0.0209833,0.99192
-5018.25,0.00101353,1.44564,1,1,0,5018.67,-0.0209833,0.99192
-5015.33,0.999184,0.329814,2,7,0,5018.37,0.000796738,1.00101
-5016.21,0.833498,0.48612,2,3,0,5017.46,-0.00943305,0.994175
-5016.19,0.994824,0.525698,2,7,0,5016.53,0.000341608,1.011
-5015.33,0.819013,0.764531,2,3,0,5017.04,-0.000918632,1.00033
-5016.08,0.821948,0.802965,1,3,0,5016.24,-0.0133558,1.00006
-5015.65,0.637747,0.847472,2,3,0,5017.1,0.00704076,1.00134
-5015.65,0.00549622,1.27914,1,1,0,5018.42,0.00704076,1.00134
-5015.65,5.78191e-41,3.01688,1,1,0,5016.29,0.00704076,1.00134
-5016.14,0.985107,0.298344,3,7,0,5016.67,-0.0139802,1.00078
-5016.02,0.999916,0.299142,4,19,0,5016.22,0.0107577,1.0017
-5016.78,0.893723,0.403779,2,5,0,5019.2,-0.0123446,1.01092
-5018.06,0.934656,0.459428,3,7,0,5019.08,0.00740596,0.986335
-5015.97,1,0.634305,2,3,0,5017.95,0.00808978,0.996765
-5015.97,0.217936,1.12466,1,1,0,5017.72,0.00808978,0.996765
-5016.2,0.999256,0.176357,4,15,0,5016.63,0.0121276,1.00091
-5016.99,0.948675,0.324091,3,7,0,5018.74,-0.00492236,1.01441
-5016.09,1,0.515983,3,7,0,5017.36,-0.00989605,0.995349
-5016.36,0.85921,0.974041,2,3,0,5016.9,0.0112501,1.00703
-5016.36,0.317054,1.18283,1,1,0,5017.53,0.0112501,1.00703
-5017.22,0.979719,0.262968,4,15,0,5019.33,0.0183432,1.00061
-5016.23,1,0.470469,2,3,0,5017.32,0.0123333,1.00279
-5015.91,0.930578,0.892685,2,3,0,5016.66,-0.0114639,1.00429
-5015.91,0.214988,1.35893,2,7,0,5016.63,-0.0114639,1.00429
-5016.72,0.98726,0.231443,3,7,0,5016.98,-0.0147313,1.00874
-5016.88,0.987685,0.421131,2,3,0,5017.33,-0.0176343,1.00637
-5015.79,0.896755,0.760934,2,3,0,5017.86,-0.00013946,1.00854
-5016.66,0.329699,1.03921,2,3,0,5019.41,0.0102415,0.993299
-5015.62,0.986005,0.264212,3,7,0,5017.86,-0.0084769,1.00357
-5015.69,0.968818,0.470984,3,7,0,5016.36,0.00533544,0.997534
-5017.02,0.86903,0.791239,2,3,0,5017.16,-0.0195699,1.00306
-5017.01,0.869884,0.988593,1,3,0,5017.7,-0.0170664,0.995117
-5016.19,1,1.23375,2,3,0,5016.62,-0.0110379,0.99537
-5016.19,3.9954e-63,2.21788,1,1,0,5019.69,-0.0110379,0.99537
-5015.99,0.992264,0.237984,4,15,0,5017.55,-0.00678446,1.00888
-5018.63,0.825753,0.420448,2,7,0,5020.56,-0.0165706,1.01651
-5018.09,1,0.464569,1,1,0,5018.69,-0.0165052,1.01453
-5015.35,1,0.825885,1,3,0,5017.59,-0.00205018,1.00332
-5015.35,0.364271,1.45432,1,1,0,5015.8,-0.00205018,1.00332
-5015.53,0.949472,0.457767,1,3,0,5016.36,0.00548926,1.00099
-5018.82,0.666028,0.701167,2,3,0,5019.5,0.0156377,1.01644
-5016.77,0.934367,0.503198,2,3,0,5020.35,0.00139995,0.989724
-5015.59,0.961191,0.735093,2,3,0,5017.08,-0.00854814,1.00233
-5016.03,0.856627,1.14477,4,15,0,5016.15,-0.0073588,0.99438
-5015.57,1,1.35059,1,1,0,5015.95,-0.00702994,0.998616
-5015.57,1.79575e-07,2.29683,1,1,0,5015.91,-0.00702994,0.998616
-5016.1,0.991442,0.302826,3,7,0,5016.25,-0.01333,0.999494
-5015.62,0.99742,0.505529,3,7,0,5016.35,-0.00348429,1.00694
-5016.6,0.705767,0.850083,1,1,0,5016.64,-0.00263982,1.013
-5016.1,1,0.685643,2,3,0,5016.73,-0.00781509,0.99407
-5016.61,0.908911,1.14882,2,3,0,5016.84,-0.0134435,0.994296
-5016.61,0.26944,1.52743,1,1,0,5016.94,-0.0134435,0.994296
