# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian_1.data.R
# init = 2 (Default)
# random
#   seed = 1750260049
# output
#   file = CmdStanGaussian_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-2.22233,0.988387,0.0722499,4,15,0,6.22191,0.392502,0.878374
-2.42694,0.973339,0.109504,3,7,0,3.31426,0.289328,0.990903
-3.6564,0.74925,0.160189,1,3,0,6.72783,-0.118731,1.19461
-1.80627,0.999725,0.147488,2,3,0,3.6623,0.21188,0.841052
-1.93868,0.930337,0.226393,2,3,0,2.47838,0.207258,0.601453
-1.93868,0.769023,0.300571,1,1,0,2.26302,0.207258,0.601453
-1.93868,0.188211,0.287368,2,3,0,3.27715,0.207258,0.601453
-1.7403,0.999925,0.0856605,3,7,0,2.01342,0.255498,0.65544
-1.70765,0.990207,0.130728,3,7,0,1.99036,0.277895,0.689111
-2.11449,0.935514,0.194866,2,3,0,2.18448,-0.0303814,0.820527
-1.80612,1,0.259659,2,3,0,2.01002,0.312459,0.679507
-1.61305,1,0.391718,1,1,0,1.68003,0.208967,0.739178
-1.61305,8.64147e-05,0.588597,2,7,0,3.1655,0.208967,0.739178
-1.6693,0.9979,0.12536,3,7,0,1.6862,0.109394,0.710592
-1.65186,0.962585,0.187857,2,3,0,2.00341,0.15895,0.772157
-1.65186,0.588568,0.261944,1,3,0,3.27006,0.15895,0.772157
-3.19139,0.748674,0.177357,1,3,0,4.97651,0.0161005,1.14674
-1.98231,0.989333,0.163723,3,7,0,3.81915,0.133586,0.60146
-1.91423,0.819884,0.239245,2,3,0,2.59349,0.101675,0.862116
-1.95115,0.9516,0.252609,2,3,0,2.26422,0.186528,0.599057
-1.95115,0.0131339,0.341879,1,1,0,3.23353,0.186528,0.599057
-2.11376,0.966897,0.0789933,3,7,0,3.70853,-0.0138737,0.675755
-2.47773,0.993351,0.110267,3,7,0,2.88469,0.398463,0.610613
-2.45414,1,0.161226,3,7,0,2.88966,0.0301104,0.982821
-2.73599,0.880165,0.237873,1,3,0,4.10168,0.521531,0.717662
-2.20375,1,0.280273,2,3,0,2.54447,-0.047172,0.838453
-2.84439,0.805451,0.41115,1,1,0,3.01963,-0.0190522,1.05545
-2.84439,8.88937e-16,0.420836,1,1,0,4.58421,-0.0190522,1.05545
-2.45722,0.993213,0.0989685,3,7,0,3.4267,0.322527,0.569907
-2.45722,0.0285553,2.29298,1,3,0,4.39921,0.322527,0.569907
-2.45722,3.02446e-19,5.63958,1,2,1,3.80027,0.322527,0.569907
