# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson5_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson5_1.data.R
# init = 2 (Default)
# random
#   seed = 2089484757
# output
#   file = CmdStanPoisson5_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
16304.6,1,0.00390625,1,3,0,-16117,0.657135,-0.798953,-1.66296,0.932482,-0.742117,0.337957,0.626622,-1.60589,-1.49951,0.884709,0.872929,0.540538,3.25628
16304.6,0,14.3855,0,1,1,-16297.5,0.657135,-0.798953,-1.66296,0.932482,-0.742117,0.337957,0.626622,-1.60589,-1.49951,0.884709,0.872929,0.540538,3.25628
16304.6,0,2.43117,0,1,1,-16301.9,0.657135,-0.798953,-1.66296,0.932482,-0.742117,0.337957,0.626622,-1.60589,-1.49951,0.884709,0.872929,0.540538,3.25628
16304.6,0,0.239791,0,1,1,-16298.5,0.657135,-0.798953,-1.66296,0.932482,-0.742117,0.337957,0.626622,-1.60589,-1.49951,0.884709,0.872929,0.540538,3.25628
16304.6,0,0.0186273,0,1,1,-16301.1,0.657135,-0.798953,-1.66296,0.932482,-0.742117,0.337957,0.626622,-1.60589,-1.49951,0.884709,0.872929,0.540538,3.25628
16671.5,1,0.00130482,2,7,0,-16386.9,0.654794,-0.799371,-1.65993,0.931901,-0.740699,0.337918,0.625554,-1.60447,-1.49905,0.88388,0.870876,0.519794,3.25608
16808.3,1,0.00189104,2,3,0,-16719.4,0.651956,-0.800949,-1.6588,0.933124,-0.741827,0.342427,0.625306,-1.60471,-1.49623,0.885089,0.867592,0.499719,3.25831
16817.2,0.142858,0.00305706,3,7,0,-16803.7,0.650621,-0.79879,-1.65856,0.929817,-0.741991,0.34525,0.619672,-1.60037,-1.49625,0.879003,0.864658,0.497633,3.24618
16828.9,0.999861,0.000358485,5,31,0,-16815.5,0.650185,-0.801438,-1.64885,0.926665,-0.738912,0.345217,0.61703,-1.60047,-1.48942,0.873073,0.855939,0.492674,3.25181
16856.6,0.995684,0.000641317,5,31,0,-16821.9,0.653762,-0.774476,-1.6417,0.90881,-0.736235,0.331451,0.603812,-1.59565,-1.46301,0.855448,0.854372,0.492865,3.22381
