# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson2_1.data.R
# init = 2 (Default)
# random
#   seed = 2089483631
# output
#   file = CmdStanPoisson2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
13512.2,0.999787,0.00261259,7,127,0,-13504.3,0.036613,0.0753122,0.180717,-0.258253,0.589348,-0.130704,0.0982789,0.0237815,0.837526,-0.144653,0.174561,0.620827,0.662159
13512.2,0.000926222,0.00488637,1,3,0,-13506.3,0.036613,0.0753122,0.180717,-0.258253,0.589348,-0.130704,0.0982789,0.0237815,0.837526,-0.144653,0.174561,0.620827,0.662159
13511.6,0.997653,0.00057333,10,1023,0,-13505.8,-0.161982,-0.359153,0.0879192,-0.225038,0.44069,-0.313631,-0.0149596,0.0328942,0.660743,-0.226889,0.0509068,0.656177,0.785033
13508.2,0.975717,0.00106863,10,1023,0,-13499,0.385398,-0.0514079,-0.0239796,-0.327113,0.386114,-0.2727,-0.0577934,-0.236097,0.64545,-0.381487,0.0263897,0.604483,0.607456
13515.3,0.994636,0.00185741,7,127,0,-13504.1,0.396159,-0.233093,-0.000668302,-0.395696,0.237916,-0.301492,0.017,-0.133352,0.489969,-0.32614,-0.041331,0.599715,0.576278
13511.3,0.993953,0.00336637,7,255,0,-13504.7,0.152532,-0.256099,0.060275,-0.56221,0.247724,-0.19922,-0.00521289,-0.0519823,0.732587,-0.110114,0.120834,0.617328,0.55745
13511.8,0.287803,0.00603104,2,5,0,-13506.5,0.153062,-0.256031,0.0659877,-0.566726,0.248021,-0.195975,0.00212526,-0.0523049,0.727581,-0.114658,0.117749,0.618885,0.56535
13513.5,0.980742,0.00164693,8,255,0,-13506.6,0.369753,-0.052263,0.0376174,-0.0159212,0.240641,-0.235728,0.043895,0.0114763,0.604042,-0.152304,0.104501,0.593003,0.339779
13505.5,0.932826,0.0028388,7,255,0,-13495.5,0.140002,-0.240512,0.183279,-0.706885,0.173938,-0.114424,0.176446,-0.0468035,0.605796,-0.235866,0.197904,0.611875,0.554886
13505.5,0.0523434,0.00428062,3,11,1,-13498.2,0.140002,-0.240512,0.183279,-0.706885,0.173938,-0.114424,0.176446,-0.0468035,0.605796,-0.235866,0.197904,0.611875,0.554886
13505.4,0.999266,0.000656503,9,1023,0,-13493.8,0.25841,0.0263899,0.090915,-0.521721,0.0852048,-0.204115,0.00545879,0.183337,0.633538,-0.0730602,0.0875204,0.60481,0.364171
13508.3,0.985234,0.00117945,7,127,0,-13501.7,0.238603,-0.00803646,0.100993,-0.498884,0.068104,-0.215431,0.0183662,0.160476,0.628285,-0.0789606,0.105518,0.607472,0.366345
13512.2,0.89745,0.00202581,8,383,0,-13503.2,0.116447,-0.0734,0.100328,-0.414697,0.134626,-0.106083,0.100203,0.136434,0.670271,-0.0729858,0.111684,0.617712,0.373248
13515,0.686998,0.00276327,8,511,0,-13503.3,0.943225,-0.212313,-0.0184538,-0.197291,0.146729,-0.14647,0.046664,-0.28363,0.252354,-0.245169,-0.0142153,0.537569,0.236572
13513,0.998942,0.00221119,6,63,0,-13508.9,0.930882,-0.181455,-0.0101951,-0.200878,0.162723,-0.137419,0.110134,-0.275864,0.237441,-0.261641,-0.0392217,0.537686,0.23182
13516.6,0.182249,0.00386211,6,63,0,-13507.6,0.930905,-0.325835,0.0016304,-0.259639,-0.0307271,-0.184949,0.00382542,-0.158285,0.285079,-0.34093,0.123408,0.539665,0.225753
13516.3,0.999878,0.000886579,8,511,0,-13510.9,0.811408,-0.239836,0.111285,-0.220857,0.0395952,-0.0756311,0.0809559,-0.218233,0.499305,-0.129168,-0.0121516,0.546186,0.18402
13514.4,0.999029,0.00154896,7,127,0,-13510.9,0.881239,-0.200922,0.0563378,-0.0981348,-0.12036,-0.12324,0.155297,-0.0720353,0.42003,-0.244856,0.240259,0.53581,0.199593
13513.8,0.95778,0.00267851,8,383,0,-13507.4,1.22509,-0.267845,0.00417521,-0.748833,0.0383325,-0.0447034,0.120817,-0.0544945,0.276527,-0.292751,0.0920866,0.503666,0.365239
13513.8,0.0122762,0.0041581,3,9,0,-13509.4,1.22509,-0.267845,0.00417521,-0.748833,0.0383325,-0.0447034,0.120817,-0.0544945,0.276527,-0.292751,0.0920866,0.503666,0.365239
13517.1,0.9908,0.000659737,9,1023,0,-13506.3,1.22635,-0.203191,0.233732,-0.46689,0.151653,-0.0317549,0.247753,-0.226452,0.398168,-0.121331,0.151341,0.491274,0.325655
13517.1,0.993677,0.00111157,9,1023,0,-13513.1,0.808699,-0.298673,0.172242,-0.345944,-0.211522,-0.11273,0.0939929,-0.0811736,0.398687,-0.196534,0.0991837,0.546079,0.331974
13519.1,0.987737,0.00187181,7,255,0,-13510.1,1.00734,-0.236969,0.0972799,-0.498753,0.0576951,-0.119488,0.133571,-0.118852,0.538224,-0.189482,0.0392461,0.524027,0.28119
13518.3,0.371239,0.00308568,7,255,0,-13512.3,0.855647,-0.204445,0.186839,-0.235349,0.0437783,0.0764595,0.257676,-0.0855902,0.430558,-0.159235,0.211669,0.527426,0.250782
