# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson3_1.data.R
# init = 2 (Default)
# random
#   seed = 2089484073
# output
#   file = CmdStanPoisson3_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
18746.9,1,0.00195312,4,15,0,-18161,-0.213328,-0.841024,-1.62157,1.42869,-1.79759,-0.390413,1.39318,-1.16207,-0.2945,-0.242229,-0.720938,0.618884,1.5294
18746.9,0,14.3855,0,1,1,-18741.1,-0.213328,-0.841024,-1.62157,1.42869,-1.79759,-0.390413,1.39318,-1.16207,-0.2945,-0.242229,-0.720938,0.618884,1.5294
18746.9,0,2.43117,0,1,1,-18738.2,-0.213328,-0.841024,-1.62157,1.42869,-1.79759,-0.390413,1.39318,-1.16207,-0.2945,-0.242229,-0.720938,0.618884,1.5294
18746.9,0,0.239791,0,1,1,-18739.5,-0.213328,-0.841024,-1.62157,1.42869,-1.79759,-0.390413,1.39318,-1.16207,-0.2945,-0.242229,-0.720938,0.618884,1.5294
18746.9,0,0.0186273,0,1,1,-18737.1,-0.213328,-0.841024,-1.62157,1.42869,-1.79759,-0.390413,1.39318,-1.16207,-0.2945,-0.242229,-0.720938,0.618884,1.5294
19132.1,1,0.00130482,4,15,0,-18737.7,-0.218295,-0.849302,-1.57234,1.31609,-1.79497,-0.397651,1.2108,-1.11328,-0.280841,-0.225775,-0.671341,0.621108,1.56475
19216.9,0.980512,0.00189104,3,7,0,-19129.2,-0.21461,-0.852722,-1.55122,1.28429,-1.79372,-0.398495,1.17874,-1.09927,-0.281469,-0.216589,-0.656499,0.62175,1.56449
19216.9,0.00813114,0.00287713,3,7,0,-19209.9,-0.21461,-0.852722,-1.55122,1.28429,-1.79372,-0.398495,1.17874,-1.09927,-0.281469,-0.216589,-0.656499,0.62175,1.56449
21439.2,0.999389,0.000220795,9,511,0,-19209.4,-0.35066,-0.592495,-0.457472,-0.573642,-1.12618,-0.551448,-0.794977,-0.129177,-0.110431,-0.10338,-0.337827,0.658151,1.61628
21440.6,0.960557,0.000393483,6,63,0,-21430,-0.335862,-0.596656,-0.442755,-0.574776,-1.12707,-0.565407,-0.794371,-0.13762,-0.100367,-0.115247,-0.350838,0.654921,1.60517
